time,cpu
1526343814,11
1526345675,11
1526347563,10
1526349258,10
1526351123,9
1526352867,8
1526354661,7
1526356374,7
1526358182,7
1526359971,6
1526361809,5
1526363572,5
1526365385,5
1526367213,5
1526368990,5
1526370991,5
1526372817,4
1526374381,4
1526376220,27
1526378006,27
1526379797,16
1526381605,13
1526383443,13
1526385445,13
1526387073,13
1526389161,13
1526390771,16
1526392439,17
1526396019,17
1526397844,16
1526399660,13
1526401472,13
1526403231,12
1526405019,11
1526406819,12
1526408596,13
1526410487,13
1526412277,11
1526414136,12
1526415845,13
1526417607,14
1526419493,15
1526421195,14
1526423014,11
1526424836,12
1526426572,14
1526428493,13
1526430227,14
1526432019,16
1526433965,14
1526435646,13
1526437474,12
1526439176,12
1526441036,11
1526442726,11
1526444560,9
1526446345,8
1526448158,7
1526449986,7
1526451801,6
1526453890,6
1526455610,5
1526457250,5
1526459013,4
1526461014,4
1526462645,4
1526464583,4
1526466216,4
1526468296,5
1526469935,5
1526471614,4
1526473377,5
1526475193,5
1526476918,4
1526478769,8
1526480567,26
1526482408,26
1526484168,19
1526487755,13
1526489573,14
1526491424,13
1526493274,15
1526494931,16
1526496720,12
1526498554,15
1526500490,15
1526502182,18
1526504120,18
1526505872,12
1526507630,13
1526509359,13
1526511386,12
1526513259,13
1526514778,14
1526516634,19
1526518452,14
1526520483,13
1526522090,12
1526523810,12
1526525592,11
1526527339,10
1526529188,8
1526530932,7
1526532777,7
1526534518,6
1526536389,6
1526538148,5
1526539934,5
1526541782,5
1526543528,4
1526545325,5
1526548986,4
1526550768,4
1526552654,5
1526554365,5
1526556655,21
1526558065,28
1526559828,14
1526561608,13
1526563422,12
1526565431,12
1526567053,12
1526568772,15
1526570580,12
1526572360,12
1526574188,11
1526575974,17
1526577804,14
1526579627,13
1526583139,13
1526584936,13
1526586942,16
1526588680,13
1526590340,13
1526592176,13
1526593948,19
1526595734,18
1526597583,14
1526599498,12
1526601335,15
1526602968,13
1526604752,14
1526606732,16
1526608426,15
1526610156,12
1526611961,10
1526615528,9
1526617346,9
1526619390,8
1526620935,7
1526622792,6
1526624637,6
1526626354,6
1526628393,5
1526630202,4
1526631832,4
1526633558,4
1526635444,4
1526637380,4
1526639083,4
1526640846,4
1526642672,4
1526644569,4
1526646268,4
1526648027,10
1526650017,30
1526651568,19
1526653456,14
1526655245,14
1526656948,13
1526658806,18
1526660978,14
1526662478,16
1526664141,14
1526665949,14
1526667729,17
1526669528,15
1526671360,13
1526673128,14
1526674929,15
1526676727,12
1526678542,11
1526680326,14
1526682140,13
1526683942,16
1526685714,15
1526687543,14
1526689405,13
1526691180,13
1526693072,14
1526694796,14
1526696549,14
1526698340,15
1526700129,16
1526701930,15
1526703745,13
1526705521,12
1526707364,12
1526709144,11
1526710932,10
1526712724,9
1526714566,9
1526716360,8
1526718114,7
1526719991,6
1526721793,6
1526723529,6
1526725327,5
1526727158,4
1526728948,4
1526730764,4
1526732586,4
1526734351,4
1526736177,4
1526737970,22
1526739757,50
1526741555,22
1526743354,17
1526746930,13
1526748737,12
1526750541,12
1526752327,12
1526754152,15
1526755915,11
1526757731,13
1526759503,16
1526761316,13
1526763122,13
1526766739,14
1526768538,11
1526770367,10
1526773943,25
1526775766,22
1526777581,14
1526779457,12
1526781207,13
1526783004,13
1526784739,13
1526786512,11
1526788316,11
1526790123,9
1526791929,8
1526793724,8
1526795517,8
1526797337,7
1526799122,7
1526800976,6
1526802762,5
1526804519,4
1526806342,4
1526808141,4
1526809938,4
1526811709,4
1526813620,4
1526815338,4
1526817154,4
1526818957,4
1526820758,4
1526822541,4
1526824341,4
1526826209,4
1526827925,4
1526829745,4
1526831525,4
1526833361,4
1526835146,4
1526836934,4
1526838817,4
1526840520,4
1526842346,4
1526844130,4
1526845924,4
1526847762,4
1526849526,4
1526851360,4
1526853124,4
1526854933,4
1526856725,4
1526858524,4
1526860339,4
1526862225,4
1526864006,4
1526865890,26
1526867663,26
1526869376,17
1526871180,14
1526872951,12
1526874759,11
1526876525,12
1526878350,12
1526880159,10
1526881992,8
1526883817,8
1526885640,8
1526887406,8
1526889292,7
1526891097,5
1526892843,5
1526894655,4
1526896464,5
1526898203,4
1526901793,5
1526903632,4
1526905408,4
1526907184,4
1526908999,4
1526910781,4
1526912566,4
1526914347,19
1526916144,23
1526917944,13
1526919743,12
1526921563,12
1526923322,13
1526925148,13
1526926953,11
1526930567,19
1526934153,13
1526935953,11
1526937739,11
1526939564,9
1526941340,8
1526943152,8
1526945005,7
1526946749,7
1526948590,7
1526950412,6
1526952184,5
1526954039,4
1526955870,5
1526957604,4
1526962966,4
1526964752,4
1526966570,8
1526968834,23
1526970274,16
1526972051,16
1526975664,13
1526977412,14
1526979201,16
1526981132,13
1526982824,14
1526984632,12
1526986420,17
1526988251,17
1526989996,13
1526991808,14
1526993802,12
1526995432,17
1526997279,18
1526999021,14
1527000837,11
1527002910,13
1527004488,14
1527006237,15
1527008017,12
1527009971,10
1527011574,13
1527013353,13
1527015192,12
1527016964,14
1527018840,13
1527020754,12
1527022407,11
1527024213,10
1527025986,12
1527027777,11
1527029589,11
1527031458,9
1527033404,8
1527035011,7
1527036851,7
1527038648,6
1527040427,19
1527042264,36
1527044001,24
1527045762,14
1527047542,13
1527049343,13
1527051190,12
1527052971,12
1527055028,11
1527056663,10
1527058370,9
1527060213,8
1527062043,6
1527063831,7
1527065621,6
1527067433,5
1527069297,4
1527070999,4
1527072967,4
1527074731,4
1527076385,4
1527078215,4
1527080005,4
1527081789,5
1527083789,5
1527085415,4
1527087232,4
1527088992,4
1527090871,4
1527092628,5
1527094495,4
1527096264,5
1527097985,4
1527099748,4
1527101565,4
1527103475,4
1527105175,4
1527106984,4
1527108774,4
1527110731,4
1527112702,4
1527114243,4
1527115981,4
1527117793,4
1527119595,4
1527121403,4
1527123215,4
1527125194,5
1527127067,5
1527128628,4
1527130421,13
1527132239,50
1527134022,23
1527135815,15
1527137683,13
1527139458,13
1527141255,14
1527143156,13
1527144891,13
1527146719,11
1527148636,10
1527150423,8
1527152185,8
1527153859,8
1527155862,7
1527157476,7
1527159399,5
1527161064,5
1527162858,4
1527164785,4
1527166875,5
1527168253,5
1527170039,5
1527171845,4
1527173610,4
1527175713,5
1527177312,4
1527179109,4
1527180840,4
1527182723,4
1527184700,4
1527186553,4
1527188048,4
1527189811,4
1527192661,4
1527193724,4
1527195239,4
1527198914,4
1527204239,4
1527205993,4
1527207791,5
1527209652,5
1527211647,4
1527213334,4
1527215158,4
1527216869,4
1527219007,5
1527220442,4
1527222226,4
1527224038,4
1527225918,4
1527227900,4
1527229450,4
1527231227,4
1527233056,4
1527234901,4
1527236656,5
1527238470,5
1527240444,4
1527242033,4
1527243862,4
1527245785,5
1527247517,4
1527249271,4
1527251096,4
1527252777,4
1527254570,4
1527256441,4
1527259961,4
1527261774,4
1527263574,5
1527265463,5
1527267450,4
1527269074,4
1527270804,4
1527272693,4
1527274600,4
1527276341,4
1527278060,4
1527279759,5
1527281589,4
1527283616,4
1527285579,4
1527287012,4
1527288770,4
1527290564,5
1527292363,4
1527294262,4
1527295988,5
1527297792,4
1527300002,4
1527301707,4
1527303256,4
1527305027,5
1527306816,4
1527308555,5
1527310353,4
1527312162,4
1527313947,4
1527315748,4
1527317649,4
1527319666,4
1527321194,5
1527322970,4
1527324776,4
1527326555,4
1527328373,5
1527330280,4
1527332160,4
1527333762,4
1527335601,4
1527337464,4
1527339165,4
1527341005,5
1527342915,4
1527344565,4
1527346366,4
1527348155,4
1527349949,4
1527351743,4
1527353560,4
1527355383,4
1527357157,4
1527358943,5
1527360766,4
1527362549,5
1527364333,4
1527366147,4
1527367956,5
1527369756,4
1527371536,4
1527373419,4
1527375163,4
1527376940,4
1527378771,4
1527687120,5
1527688439,5
1527690377,10
1527692059,24
1527693905,17
1527695940,15
1527697488,14
1527699314,13
1527701059,17
1527702925,15
1527705026,16
1527706604,13
1527708401,14
1527710140,15
